Date,Open,High,Low,Close,Adj Close,Volume
1997-05-20,12.980000,12.980000,12.980000,12.980000,8.578037,0
1997-05-21,12.950000,12.950000,12.950000,12.950000,8.558213,0
1997-05-22,12.890000,12.890000,12.890000,12.890000,8.518562,0
1997-05-23,13.060000,13.060000,13.060000,13.060000,8.630910,0
1997-05-27,13.100000,13.100000,13.100000,13.100000,8.657347,0
1997-05-28,13.070000,13.070000,13.070000,13.070000,8.637519,0
1997-05-29,13.020000,13.020000,13.020000,13.020000,8.604473,0
1997-05-30,13.090000,13.090000,13.090000,13.090000,8.650736,0
1997-06-02,13.060000,13.060000,13.060000,13.060000,8.630910,0
1997-06-03,13.050000,13.050000,13.050000,13.050000,8.624301,0
1997-06-04,12.970000,12.970000,12.970000,12.970000,8.571432,0
1997-06-05,13.020000,13.020000,13.020000,13.020000,8.604473,0
1997-06-06,13.240000,13.240000,13.240000,13.240000,8.749866,0
1997-06-09,13.320000,13.320000,13.320000,13.320000,8.802736,0
1997-06-10,13.360000,13.360000,13.360000,13.360000,8.829168,0
1997-06-11,13.420000,13.420000,13.420000,13.420000,8.868819,0
1997-06-12,13.640000,13.640000,13.640000,13.640000,9.014212,0
1997-06-13,13.790000,13.790000,13.790000,13.790000,9.113341,0
1997-06-16,13.800000,13.800000,13.800000,13.800000,9.119948,0
1997-06-17,13.810000,13.810000,13.810000,13.810000,9.126558,0
1997-06-18,13.730000,13.730000,13.730000,13.730000,9.073687,0
1997-06-19,13.870000,13.870000,13.870000,13.870000,9.166212,0
1997-06-20,13.880000,13.880000,13.880000,13.880000,9.172821,0
1997-06-23,13.570000,13.570000,13.570000,13.570000,8.967952,0
1997-06-24,13.840000,13.840000,13.840000,13.840000,9.146385,0
1997-06-25,13.730000,13.730000,13.730000,13.730000,9.073687,0
1997-06-26,13.650000,13.650000,13.650000,13.650000,9.020823,0
1997-06-27,13.700000,13.700000,13.700000,13.700000,9.053863,0
1997-06-30,13.670000,13.670000,13.670000,13.670000,9.034036,0
1997-07-01,13.760000,13.760000,13.760000,13.760000,9.093516,0
1997-07-02,13.960000,13.960000,13.960000,13.960000,9.225691,0
1997-07-03,14.160000,14.160000,14.160000,14.160000,9.357862,0
1997-07-07,14.090000,14.090000,14.090000,14.090000,9.311604,0
1997-07-08,14.190000,14.190000,14.190000,14.190000,9.377688,0
1997-07-09,14.020000,14.020000,14.020000,14.020000,9.265342,0
1997-07-10,14.120000,14.120000,14.120000,14.120000,9.331428,0
1997-07-11,14.160000,14.160000,14.160000,14.160000,9.357862,0
1997-07-14,14.190000,14.190000,14.190000,14.190000,9.377688,0
1997-07-15,14.300000,14.300000,14.300000,14.300000,9.450384,0
1997-07-16,14.470000,14.470000,14.470000,14.470000,9.562731,0
1997-07-17,14.390000,14.390000,14.390000,14.390000,9.509860,0
1997-07-18,14.140000,14.140000,14.140000,14.140000,9.344645,0
1997-07-21,14.100000,14.100000,14.100000,14.100000,9.318210,0
1997-07-22,14.430000,14.430000,14.430000,14.430000,9.536297,0
1997-07-23,14.470000,14.470000,14.470000,14.470000,9.562731,0
1997-07-24,14.530000,14.530000,14.530000,14.530000,9.602381,0
1997-07-25,14.500000,14.500000,14.500000,14.500000,9.582556,0
1997-07-28,14.500000,14.500000,14.500000,14.500000,9.582556,0
1997-07-29,14.560000,14.560000,14.560000,14.560000,9.622208,0
1997-07-30,14.710000,14.710000,14.710000,14.710000,9.721338,0
1997-07-31,14.750000,14.750000,14.750000,14.750000,9.747774,0
1997-08-01,14.640000,14.640000,14.640000,14.640000,9.675077,0
1997-08-04,14.690000,14.690000,14.690000,14.690000,9.708121,0
1997-08-05,14.720000,14.720000,14.720000,14.720000,9.727947,0
1997-08-06,14.840000,14.840000,14.840000,14.840000,9.807250,0
1997-08-07,14.700000,14.700000,14.700000,14.700000,9.714731,0
1997-08-08,14.430000,14.430000,14.430000,14.430000,9.536297,0
1997-08-11,14.490000,14.490000,14.490000,14.490000,9.575946,0
1997-08-12,14.320000,14.320000,14.320000,14.320000,9.463602,0
1997-08-13,14.260000,14.260000,14.260000,14.260000,9.423951,0
1997-08-14,14.300000,14.300000,14.300000,14.300000,9.450384,0
1997-08-15,13.930000,13.930000,13.930000,13.930000,9.205864,0
1997-08-18,14.110000,14.110000,14.110000,14.110000,9.324817,0
1997-08-19,14.320000,14.320000,14.320000,14.320000,9.463602,0
1997-08-20,14.530000,14.530000,14.530000,14.530000,9.602381,0
1997-08-21,14.310000,14.310000,14.310000,14.310000,9.456992,0
1997-08-22,14.290000,14.290000,14.290000,14.290000,9.443776,0
1997-08-25,14.230000,14.230000,14.230000,14.230000,9.404124,0
1997-08-26,14.120000,14.120000,14.120000,14.120000,9.331428,0
1997-08-27,14.130000,14.130000,14.130000,14.130000,9.338036,0
1997-08-28,13.980000,13.980000,13.980000,13.980000,9.238907,0
1997-08-29,13.920000,13.920000,13.920000,13.920000,9.199257,0
1997-09-02,14.350000,14.350000,14.350000,14.350000,9.483425,0
1997-09-03,14.360000,14.360000,14.360000,14.360000,9.490036,0
1997-09-04,14.410000,14.410000,14.410000,14.410000,9.523081,0
1997-09-05,14.380000,14.380000,14.380000,14.380000,9.503252,0
1997-09-08,14.420000,14.420000,14.420000,14.420000,9.529687,0
1997-09-09,14.450000,14.450000,14.450000,14.450000,9.549512,0
1997-09-10,14.230000,14.230000,14.230000,14.230000,9.404124,0
1997-09-11,14.130000,14.130000,14.130000,14.130000,9.338036,0
1997-09-12,14.310000,14.310000,14.310000,14.310000,9.456992,0
1997-09-15,14.240000,14.240000,14.240000,14.240000,9.410731,0
1997-09-16,14.650000,14.650000,14.650000,14.650000,9.681690,0
1997-09-17,14.610000,14.610000,14.610000,14.610000,9.655252,0
1997-09-18,14.680000,14.680000,14.680000,14.680000,9.701514,0
1997-09-19,14.730000,14.730000,14.730000,14.730000,9.734555,0
1997-09-22,14.800000,14.800000,14.800000,14.800000,9.780819,0
1997-09-23,14.750000,14.750000,14.750000,14.750000,9.747774,0
1997-09-24,14.630000,14.630000,14.630000,14.630000,9.668470,0
1997-09-25,14.530000,14.530000,14.530000,14.530000,9.602381,0
1997-09-26,14.650000,14.650000,14.650000,14.650000,9.681690,0
1997-09-29,14.770000,14.770000,14.770000,14.770000,9.760989,0
1997-09-30,14.680000,14.680000,14.680000,14.680000,9.701514,0
1997-10-01,14.810000,14.810000,14.810000,14.810000,9.787426,0
1997-10-02,14.890000,14.890000,14.890000,14.890000,9.840295,0
1997-10-03,14.960000,14.960000,14.960000,14.960000,9.886556,0
1997-10-06,15.080000,15.080000,15.080000,15.080000,9.965858,0
1997-10-07,15.240000,15.240000,15.240000,15.240000,10.071597,0
1997-10-08,15.100000,15.100000,15.100000,15.100000,9.979075,0
1997-10-09,15.050000,15.050000,15.050000,15.050000,9.946033,0
1997-10-10,15.000000,15.000000,15.000000,15.000000,9.912991,0
1997-10-13,15.010000,15.010000,15.010000,15.010000,9.919599,0
1997-10-14,15.050000,15.050000,15.050000,15.050000,9.946033,0
1997-10-15,14.980000,14.980000,14.980000,14.980000,9.899774,0
1997-10-16,14.820000,14.820000,14.820000,14.820000,9.794032,0
1997-10-17,14.640000,14.640000,14.640000,14.640000,9.675077,0
1997-10-20,14.820000,14.820000,14.820000,14.820000,9.794032,0
1997-10-21,15.080000,15.080000,15.080000,15.080000,9.965858,0
1997-10-22,15.020000,15.020000,15.020000,15.020000,9.926208,0
1997-10-23,14.750000,14.750000,14.750000,14.750000,9.747774,0
1997-10-24,14.610000,14.610000,14.610000,14.610000,9.655252,0
1997-10-27,13.610000,13.610000,13.610000,13.610000,8.994384,0
1997-10-28,14.300000,14.300000,14.300000,14.300000,9.450384,0
1997-10-29,14.260000,14.260000,14.260000,14.260000,9.423951,0
1997-10-30,14.030000,14.030000,14.030000,14.030000,9.271950,0
1997-10-31,14.190000,14.190000,14.190000,14.190000,9.377688,0
1997-11-03,14.570000,14.570000,14.570000,14.570000,9.628817,0
1997-11-04,14.600000,14.600000,14.600000,14.600000,9.648644,0
1997-11-05,14.630000,14.630000,14.630000,14.630000,9.668470,0
1997-11-06,14.560000,14.560000,14.560000,14.560000,9.622208,0
1997-11-07,14.400000,14.400000,14.400000,14.400000,9.516470,0
1997-11-10,14.300000,14.300000,14.300000,14.300000,9.450384,0
1997-11-11,14.340000,14.340000,14.340000,14.340000,9.476817,0
1997-11-12,14.070000,14.070000,14.070000,14.070000,9.298385,0
1997-11-13,14.230000,14.230000,14.230000,14.230000,9.404124,0
1997-11-14,14.420000,14.420000,14.420000,14.420000,9.529687,0
1997-11-17,14.690000,14.690000,14.690000,14.690000,9.708121,0
1997-11-18,14.570000,14.570000,14.570000,14.570000,9.628817,0
1997-11-19,14.670000,14.670000,14.670000,14.670000,9.694903,0
1997-11-20,14.890000,14.890000,14.890000,14.890000,9.840295,0
1997-11-21,14.960000,14.960000,14.960000,14.960000,9.886556,0
1997-11-24,14.700000,14.700000,14.700000,14.700000,9.714731,0
1997-11-25,14.770000,14.770000,14.770000,14.770000,9.760989,0
1997-11-26,14.780000,14.780000,14.780000,14.780000,9.767597,0
1997-11-28,14.840000,14.840000,14.840000,14.840000,9.807250,0
1997-12-01,15.140000,15.140000,15.140000,15.140000,10.005510,0
1997-12-02,15.090000,15.090000,15.090000,15.090000,9.972467,0
1997-12-03,15.180000,15.180000,15.180000,15.180000,10.031947,0
1997-12-04,15.120000,15.120000,15.120000,15.120000,9.992295,0
1997-12-05,15.290000,15.290000,15.290000,15.290000,10.104642,0
1997-12-08,15.260000,15.260000,15.260000,15.260000,10.084815,0
1997-12-09,15.160000,15.160000,15.160000,15.160000,10.018726,0
1997-12-10,15.070000,15.070000,15.070000,15.070000,9.959249,0
1997-12-11,14.850000,14.850000,14.850000,14.850000,9.813862,0
1997-12-12,14.820000,14.820000,14.820000,14.820000,9.794032,0
1997-12-15,14.980000,14.980000,14.980000,14.980000,9.899774,0
1997-12-16,15.050000,15.050000,15.050000,15.050000,9.946033,0
1997-12-17,15.010000,15.010000,15.010000,15.010000,9.919599,0
1997-12-18,14.850000,14.850000,14.850000,14.850000,9.813862,0
1997-12-19,14.720000,14.720000,14.720000,14.720000,9.727947,0
1997-12-22,14.830000,14.830000,14.830000,14.830000,9.800642,0
1997-12-23,14.600000,14.600000,14.600000,14.600000,9.648644,0
1997-12-24,14.500000,14.500000,14.500000,14.500000,9.582556,0
1997-12-26,14.420000,14.420000,14.420000,14.420000,9.624606,0
1997-12-29,14.680000,14.680000,14.680000,14.680000,9.798144,0
1997-12-30,14.950000,14.950000,14.950000,14.950000,9.978353,0
1997-12-31,14.950000,14.950000,14.950000,14.950000,9.978353,0
1998-01-02,15.020000,15.020000,15.020000,15.020000,10.025075,0
1998-01-05,15.050000,15.050000,15.050000,15.050000,10.045099,0
1998-01-06,14.890000,14.890000,14.890000,14.890000,9.938308,0
1998-01-07,14.850000,14.850000,14.850000,14.850000,9.911610,0
1998-01-08,14.730000,14.730000,14.730000,14.730000,9.831515,0
1998-01-09,14.290000,14.290000,14.290000,14.290000,9.537839,0
1998-01-12,14.470000,14.470000,14.470000,14.470000,9.657978,0
1998-01-13,14.670000,14.670000,14.670000,14.670000,9.791469,0
1998-01-14,14.760000,14.760000,14.760000,14.760000,9.851539,0
1998-01-15,14.650000,14.650000,14.650000,14.650000,9.778118,0
1998-01-16,14.820000,14.820000,14.820000,14.820000,9.891582,0
1998-01-20,15.080000,15.080000,15.080000,15.080000,10.065123,0
1998-01-21,14.960000,14.960000,14.960000,14.960000,9.985029,0
1998-01-22,14.840000,14.840000,14.840000,14.840000,9.904935,0
1998-01-23,14.760000,14.760000,14.760000,14.760000,9.851539,0
